Delivery Man,17/04/2015,2,Comedy,Ken Scott,http://www.imdb.com/title/tt2387559/
Discovering Electronic Music,17/04/2105,3,Documentary,Bernard Wilets,http://www.imdb.com/title/tt2784596/
Pompeii,18/04/2015,2,Action,Paul W.S. Anderson,http://www.imdb.com/title/tt1921064/
Bukowski: Born into This,18/04/2015,3,Documentary,John Dullaghan,http://www.imdb.com/title/tt0342150/
The Selfish Giant,27/04/2015,3,Drama,Clio Barnard,http://www.imdb.com/title/tt2304426/
Video Games: The Movie,30/04/2015,1,Documentary,Jeremy Snead,http://www.imdb.com/title/tt3214002/
Percy Jackson and the Olympians: The Lightning Thief,30/04/2015,2,Adventure,Chris Columbus,http://www.imdb.com/title/tt0814255/
God Help the Girl,1/5/2015,3,Drama,Stuart Murdoch,http://www.imdb.com/title/tt2141751/
St. Vincent,1/5/2015,3,Comedy,Theodore Melfi,http://www.imdb.com/title/tt2170593/
Stalingrad,6/5/2015,3,War,Fedor Bondarchuk,http://www.imdb.com/title/tt1966566/
The Box Trolls,9/5/2015,3,Animation,"Graham Annable, Anthony Stacchi",http://www.imdb.com/title/tt0787474/
Black Angel, 15/05/2015,3,Short,Roger Christian,http://www.imdb.com/title/tt0130508/
Inherent Vice,16/05/2015,3,Crime,Paul Thomas Anderson,http://www.imdb.com/title/tt1791528/
Horrible Bosses 2,16/05/2015,2,Comedy,Sean Anders,http://www.imdb.com/title/tt2170439/
Big Eyes,16/05/2015,3,Biography,Tim Burton,http://www.imdb.com/title/tt1126590/
Kingsman: The Secret Service,16/05/2015,3,Action,Matthew Vaughn,http://www.imdb.com/title/tt2802144/
Unbroken,16/05/2015,3,Biography,Angelina Jolie,http://www.imdb.com/title/tt1809398/
Jimi: All Is by My Side,21/05/2015,3, Biography,John Ridley,http://www.imdb.com/title/tt2402085/
Who the F**K Is Arthur Fogel,21/05/2015,2,Documentary,Ron Chapman,http://www.imdb.com/title/tt3479180/
All This Mayhem,21/05/2015,4,Documentary,Eddie Martin,http://www.imdb.com/title/tt2938416/
Ray Harryhausen: Special Effects Titan,22/05.2013,3,Documentary,Gilles Penso,http://www.imdb.com/title/tt1839590/
